customerID;gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges;Churn
9948-['M' 'X' 'E' 'U' 'Q'];Male;1;Yes;No;46;No;No phone service;Fiber optic;Yes;No internet service;No;No;No;No;Month-to-month;No;Credit card (automatic);70,31;3242,42;No
1821-['G' 'Y' 'L' 'L' 'I'];Female;0;Yes;No;53;Yes;No;DSL;No;Yes;No;Yes;Yes;No;Month-to-month;No;Mailed check;38,13;2014,33;No
4398-['O' 'F' 'Y' 'J' 'V'];Male;0;Yes;No;41;Yes;Yes;Fiber optic;No;Yes;No internet service;No;No;No;Month-to-month;Yes;Credit card (automatic);80,25;3289,5;Yes
9932-['D' 'M' 'Z' 'P' 'K'];Female;0;No;No;20;Yes;Yes;DSL;Yes;No;Yes;No;No;Yes;One year;Yes;Credit card (automatic);20,19;410,81;No
9414-['C' 'M' 'V' 'E' 'A'];Male;0;No;Yes;59;Yes;Yes;DSL;No;No;Yes;Yes;Yes;No;Month-to-month;Yes;Mailed check;66,69;3923,32;Yes
8221-['Y' 'Z' 'C' 'P' 'G'];Male;0;Yes;No;66;Yes;No;Fiber optic;Yes;No internet service;No;No;No;No;Month-to-month;No;Bank transfer (automatic);113,59;7503,76;Yes
8754-['B' 'C' 'Z' 'S' 'G'];Male;0;Yes;Yes;16;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;No;Bank transfer (automatic);72,08;1151,17;Yes
6137-['L' 'B' 'K' 'P' 'Y'];Female;0;No;No;40;Yes;Yes;Fiber optic;Yes;Yes;No;No internet service;Yes;Yes;Month-to-month;No;Credit card (automatic);54,58;2175,45;No
3494-['E' 'V' 'C' 'D' 'N'];Male;0;Yes;No;52;No;No phone service;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Bank transfer (automatic);117,11;6093,72;No
4584-['K' 'A' 'Q' 'O' 'T'];Male;0;Yes;Yes;59;Yes;Yes;DSL;No internet service;No;No;No;No;Yes;Month-to-month;No;Bank transfer (automatic);46,18;2733,67;No
7110-['Y' 'X' 'M' 'O' 'G'];Male;0;Yes;Yes;10;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Credit card (automatic);116,86;1176,16;No
9770-['E' 'X' 'U' 'S' 'B'];Male;0;Yes;No;43;Yes;Yes;DSL;No internet service;Yes;Yes;No;No;No;One year;No;Mailed check;117,58;5049,23;No
3989-['I' 'R' 'J' 'E' 'D'];Male;1;Yes;No;66;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;110,33;7287,39;No
3057-['V' 'A' 'B' 'P' 'R'];Female;0;Yes;No;32;Yes;No;Fiber optic;No;No;No internet service;Yes;No;No;Month-to-month;No;Electronic check;33,55;1070,34;No
2787-['F' 'C' 'Q' 'Q' 'U'];Male;0;Yes;No;39;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;56,54;2206,22;Yes
7033-['Q' 'V' 'W' 'S' 'P'];Male;0;No;No;3;Yes;No phone service;Fiber optic;Yes;Yes;No;No internet service;Yes;Yes;Month-to-month;No;Bank transfer (automatic);32,04;86,99;Yes
1516-['J' 'Y' 'F' 'S' 'X'];Female;0;Yes;No;61;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Credit card (automatic);103,27;6303,12;No
1761-['V' 'I' 'A' 'M' 'Q'];Female;0;Yes;Yes;30;Yes;Yes;DSL;No;Yes;Yes;No;Yes;No;Two year;Yes;Bank transfer (automatic);38,99;1178,94;No
9938-['K' 'N' 'D' 'Y' 'E'];Female;0;No;Yes;72;Yes;Yes;Fiber optic;No internet service;No;No;No internet service;Yes;No;Month-to-month;Yes;Bank transfer (automatic);117,15;8441,09;No
2613-['L' 'W' 'B' 'J' 'W'];Female;0;No;No;72;Yes;Yes;Fiber optic;Yes;No;Yes;No internet service;No;Yes;Month-to-month;Yes;Mailed check;101,78;7338,69;No
5021-['M' 'M' 'T' 'M' 'W'];Female;0;No;No;4;Yes;Yes;Fiber optic;No;No internet service;No;Yes;No;No;Month-to-month;No;Electronic check;33,29;123,19;Yes
1622-['I' 'K' 'L' 'H' 'S'];Female;0;Yes;Yes;46;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);29,63;1376,4;No
3891-['O' 'V' 'T' 'T' 'W'];Female;1;Yes;Yes;49;No;No phone service;DSL;No;Yes;No;Yes;Yes;No;Two year;Yes;Bank transfer (automatic);92,71;4535,34;No
4950-['T' 'R' 'S' 'H' 'D'];Male;1;Yes;No;15;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;68,52;1020,86;Yes
2427-['C' 'M' 'S' 'P' 'G'];Female;1;No;No;45;Yes;Yes;Fiber optic;No;No;Yes;No;No;No;One year;Yes;Mailed check;56,89;2558,73;No
3546-['A' 'L' 'W' 'J' 'M'];Male;0;No;Yes;33;Yes;No;Fiber optic;No;No;No internet service;Yes;No;Yes;One year;Yes;Mailed check;20,87;678,71;No
2634-['X' 'F' 'M' 'A' 'T'];Male;0;Yes;No;38;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Electronic check;90,32;3433,76;No
2372-['V' 'C' 'S' 'K' 'H'];Female;0;No;Yes;59;Yes;No;DSL;No;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;65,02;3826,26;No
6083-['O' 'A' 'Y' 'Q' 'A'];Male;0;No;Yes;59;Yes;No;DSL;No;No;Yes;No internet service;No;Yes;One year;No;Credit card (automatic);107,79;6369,82;No
8987-['T' 'B' 'G' 'O' 'Q'];Female;0;Yes;Yes;15;Yes;Yes;DSL;No;No internet service;Yes;Yes;Yes;No;Month-to-month;Yes;Electronic check;86,65;1297,32;Yes
1134-['I' 'T' 'G' 'K' 'W'];Male;0;Yes;No;24;Yes;Yes;DSL;No;No;Yes;No;No;No;Month-to-month;No;Credit card (automatic);67,28;1623,65;No
7022-['Y' 'U' 'Q' 'O' 'C'];Female;0;No;Yes;53;Yes;No;Fiber optic;Yes;No;No;No;No;No internet service;Month-to-month;Yes;Bank transfer (automatic);38,88;2074,7;No
9604-['G' 'K' 'W' 'Z' 'N'];Male;0;No;Yes;59;Yes;Yes;DSL;Yes;No;No;Yes;No;No;Month-to-month;No;Electronic check;108,11;6368,37;No
3671-['A' 'H' 'Z' 'N' 'W'];Female;0;No;No;61;Yes;No;Fiber optic;No;No;Yes;No;No;No internet service;Month-to-month;No;Mailed check;89,82;5467,27;No
1400-['E' 'K' 'M' 'I' 'A'];Male;0;Yes;No;9;Yes;Yes;DSL;No;No;No;No;Yes;Yes;One year;Yes;Mailed check;100,72;904,8;Yes
2567-['H' 'W' 'B' 'V' 'U'];Male;1;Yes;No;65;Yes;Yes;DSL;Yes;No;No;Yes;No;No;Month-to-month;No;Bank transfer (automatic);39,35;2552,76;No
3018-['Z' 'R' 'U' 'N' 'T'];Male;0;No;No;14;Yes;Yes;DSL;No;No;No;No internet service;No;Yes;Two year;No;Bank transfer (automatic);99,74;1402,37;No
6013-['V' 'A' 'S' 'L' 'Q'];Male;0;No;No;56;Yes;No phone service;Fiber optic;No;No;No;No;Yes;No;One year;Yes;Bank transfer (automatic);82,28;4620,09;No
8005-['Q' 'Y' 'R' 'L' 'U'];Female;0;No;No;30;Yes;No;Fiber optic;No;No;No;No internet service;Yes;No;Month-to-month;Yes;Bank transfer (automatic);64,76;1943,42;Yes
8476-['E' 'M' 'P' 'B' 'T'];Male;0;No;No;28;Yes;No;DSL;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);106,93;2993,33;No
1073-['U' 'I' 'X' 'F' 'K'];Female;0;No;No;10;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Credit card (automatic);83,95;837,7;Yes
5825-['W' 'Q' 'K' 'Y' 'W'];Female;0;No;No;50;Yes;No;DSL;No internet service;No internet service;No;No;No;No;Month-to-month;Yes;Credit card (automatic);45,84;2285,13;Yes
8964-['K' 'E' 'F' 'M' 'T'];Male;0;No;No;68;Yes;Yes;DSL;No;No;Yes;No;No;No;Month-to-month;Yes;Mailed check;111,97;7628,13;No
4909-['P' 'M' 'G' 'H' 'E'];Male;1;Yes;No;54;Yes;No;DSL;No internet service;No;No;No;No;No;Month-to-month;Yes;Electronic check;39,14;2115,15;No
2869-['W' 'L' 'U' 'G' 'Q'];Female;0;No;Yes;35;No;No phone service;Fiber optic;No internet service;No;No internet service;No;No;No;Two year;Yes;Credit card (automatic);22,15;760,5;No
5638-['N' 'R' 'L' 'O' 'K'];Male;0;Yes;No;5;Yes;No;DSL;No;No internet service;No;Yes;No;No;Month-to-month;Yes;Mailed check;65,36;329,39;Yes
6629-['F' 'P' 'I' 'C' 'H'];Male;0;Yes;Yes;65;Yes;No;DSL;No;No internet service;No;No;No;Yes;Month-to-month;Yes;Electronic check;84,18;5492,36;Yes
6074-['Y' 'T' 'E' 'B' 'J'];Male;0;No;Yes;58;Yes;No;Fiber optic;Yes;No;No;No;No;No internet service;Month-to-month;Yes;Credit card (automatic);79,34;4596,15;Yes
4391-['E' 'L' 'O' 'R' 'W'];Female;0;Yes;Yes;37;Yes;No;DSL;Yes;No internet service;No;No internet service;Yes;No internet service;Month-to-month;Yes;Credit card (automatic);106,94;3974,96;Yes
8793-['P' 'Q' 'D' 'L' 'Q'];Male;0;No;No;70;Yes;Yes;Fiber optic;Yes;Yes;No;No;Yes;No;Two year;Yes;Bank transfer (automatic);50,47;3529,89;No
6743-['G' 'W' 'M' 'I' 'W'];Male;0;No;Yes;71;Yes;Yes;DSL;No;No;No;No;Yes;Yes;One year;Yes;Credit card (automatic);23,03;1641,68;Yes
6348-['Q' 'F' 'T' 'R' 'B'];Male;1;No;No;14;Yes;No phone service;DSL;No internet service;No;No;No;No;No;Month-to-month;Yes;Mailed check;77,74;1095,21;No
8163-['K' 'C' 'Z' 'X' 'S'];Female;0;Yes;No;56;Yes;No phone service;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;No;Credit card (automatic);60,96;3432,63;Yes
3470-['O' 'B' 'C' 'D' 'C'];Male;0;No;No;65;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Electronic check;55,81;3630,28;No
3481-['I' 'G' 'P' 'R' 'L'];Male;0;No;Yes;5;Yes;No;Fiber optic;Yes;No;Yes;No;No;Yes;Month-to-month;No;Electronic check;92,58;455,62;Yes
5373-['V' 'A' 'L' 'E' 'J'];Male;0;No;No;49;Yes;No;Fiber optic;Yes;No;No;Yes;No;No;Month-to-month;No;Electronic check;56,52;2777,66;Yes
5507-['M' 'V' 'O' 'Y' 'B'];Female;0;No;No;43;Yes;No;Fiber optic;Yes;No;No;No;Yes;Yes;Month-to-month;No;Bank transfer (automatic);104,57;4504,49;No
7025-['G' 'S' 'C' 'U' 'R'];Female;1;No;No;21;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Electronic check;55,87;1175,43;No
4824-['V' 'T' 'F' 'B' 'B'];Male;0;No;No;23;Yes;Yes;Fiber optic;No;Yes;Yes;No internet service;No;Yes;Month-to-month;Yes;Mailed check;28;633,19;Yes
8930-['X' 'P' 'O' 'R' 'F'];Female;1;No;No;33;Yes;No;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;No;Bank transfer (automatic);90,42;3001,34;No
2764-['K' 'N' 'H' 'K' 'O'];Female;0;No;Yes;26;Yes;Yes;Fiber optic;No;No;No;No;Yes;No;Month-to-month;No;Mailed check;24,15;632,13;No
3079-['D' 'J' 'E' 'C' 'N'];Female;1;Yes;No;52;Yes;No phone service;Fiber optic;No internet service;No;No;Yes;No internet service;No;Month-to-month;Yes;Credit card (automatic);89,11;4624,84;Yes
2276-['R' 'K' 'N' 'T' 'U'];Male;0;Yes;Yes;69;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Electronic check;20,57;1415,88;No
4821-['V' 'W' 'Y' 'U' 'G'];Female;0;Yes;No;23;Yes;Yes;Fiber optic;Yes;No;No;No;No;No;Month-to-month;No;Electronic check;59,09;1362,83;No
6570-['Q' 'G' 'D' 'T' 'Y'];Female;0;Yes;Yes;50;Yes;Yes;DSL;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;23,66;1191,55;No
7607-['Q' 'T' 'F' 'O' 'E'];Male;0;No;Yes;57;Yes;No;Fiber optic;No;No;Yes;Yes;No;No;Month-to-month;Yes;Electronic check;31,52;1789,77;Yes
9226-['I' 'R' 'T' 'Y' 'X'];Female;0;Yes;No;23;Yes;Yes;Fiber optic;No;No;No internet service;No;Yes;Yes;One year;Yes;Credit card (automatic);22,67;514,66;No
5807-['V' 'B' 'F' 'M' 'D'];Male;0;Yes;Yes;25;Yes;No;DSL;No;No;No;Yes;No;No;One year;Yes;Electronic check;86,22;2165,17;No
2926-['X' 'X' 'Z' 'P' 'L'];Male;0;No;No;52;Yes;No phone service;DSL;No internet service;No;No;No;Yes;No;Two year;Yes;Credit card (automatic);28,99;1515,43;No
9825-['C' 'O' 'E' 'S' 'J'];Male;0;Yes;Yes;6;Yes;Yes;DSL;No;No;No internet service;No;No;Yes;Month-to-month;Yes;Bank transfer (automatic);22,87;131,92;Yes
7484-['X' 'W' 'D' 'B' 'J'];Female;0;Yes;Yes;57;Yes;No phone service;Fiber optic;Yes;No;No;No;Yes;Yes;Month-to-month;No;Bank transfer (automatic);49,36;2826,65;Yes
3959-['N' 'F' 'P' 'T' 'F'];Male;0;Yes;No;58;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Electronic check;27,82;1616,31;No
2976-['Q' 'M' 'T' 'A' 'A'];Male;0;Yes;No;16;Yes;Yes;DSL;No;No;Yes;No;No;No;Month-to-month;No;Mailed check;95,6;1548,52;Yes
6287-['L' 'F' 'J' 'F' 'J'];Female;0;Yes;No;22;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Credit card (automatic);29,08;628,25;No
8620-['G' 'W' 'B' 'B' 'Z'];Male;0;No;No;20;Yes;No;DSL;Yes;No internet service;No;No;No;Yes;One year;No;Electronic check;76,78;1530,23;Yes
7493-['L' 'O' 'I' 'I' 'H'];Male;0;Yes;No;65;Yes;Yes;DSL;No;No;No;No internet service;Yes;No;Month-to-month;No;Bank transfer (automatic);46,07;3006,38;No
6433-['A' 'Q' 'T' 'C' 'X'];Male;1;Yes;Yes;5;Yes;No;DSL;No;Yes;Yes;Yes;No;Yes;Month-to-month;Yes;Credit card (automatic);90,09;460,69;No
9191-['I' 'G' 'Z' 'E' 'N'];Female;0;Yes;Yes;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Credit card (automatic);20,68;25,69;No
4826-['Z' 'S' 'J' 'F' 'L'];Male;0;No;Yes;11;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic);46,62;511,37;No
3365-['J' 'W' 'K' 'J' 'M'];Female;0;No;Yes;47;Yes;No;DSL;Yes;Yes;No;No;No;No;Month-to-month;No;Mailed check;45,47;2125,07;No
7403-['Q' 'T' 'D' 'J' 'A'];Female;0;Yes;No;15;Yes;No;Fiber optic;No;No;No;No;No;Yes;One year;Yes;Bank transfer (automatic);51,33;785,51;No
3940-['S' 'N' 'L' 'N' 'Q'];Male;0;No;No;17;No;No phone service;DSL;Yes;No;No;Yes;Yes;No;Month-to-month;No;Mailed check;53,15;908,69;No
5922-['N' 'P' 'P' 'T' 'Q'];Female;1;Yes;No;58;Yes;No;DSL;No;No;No;Yes;No;Yes;One year;Yes;Credit card (automatic);102,15;5905,33;No
8751-['H' 'Y' 'N' 'L' 'A'];Female;0;No;No;56;Yes;No;DSL;No internet service;No internet service;No;No internet service;No;Yes;Month-to-month;Yes;Credit card (automatic);47,66;2659,25;Yes
5456-['K' 'N' 'Z' 'Z' 'L'];Female;1;No;Yes;17;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);110,12;1891,46;No
7551-['G' 'O' 'Z' 'F' 'I'];Female;0;No;Yes;18;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;74,31;1344,5;Yes
5495-['J' 'M' 'E' 'U' 'Y'];Female;1;No;No;8;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Credit card (automatic);110,68;877,1;No
8365-['F' 'Y' 'A' 'K' 'O'];Female;0;Yes;Yes;14;Yes;Yes;DSL;No;No;No;No;No;No;Month-to-month;No;Bank transfer (automatic);118,05;1648,28;No
4168-['X' 'C' 'L' 'E' 'Q'];Male;0;No;No;66;Yes;No phone service;Fiber optic;No;Yes;Yes;No;Yes;Yes;Two year;No;Electronic check;105,55;6951,26;No
8723-['S' 'D' 'M' 'V' 'A'];Female;1;No;Yes;7;Yes;No;Fiber optic;Yes;Yes;No;No;Yes;No;Month-to-month;No;Electronic check;39,7;302,2;No
6408-['B' 'H' 'N' 'C' 'Z'];Female;0;Yes;No;21;Yes;Yes;Fiber optic;Yes;No;Yes;No;Yes;No;Two year;Yes;Electronic check;93,55;1973,68;Yes
4014-['G' 'A' 'S' 'H' 'F'];Male;0;Yes;No;41;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;No;Bank transfer (automatic);41,8;1718,13;No
2767-['D' 'C' 'O' 'K' 'T'];Female;0;No;Yes;14;No;No phone service;DSL;Yes;No;No;Yes;No;No;Month-to-month;Yes;Mailed check;115,79;1612,08;No
8784-['K' 'Q' 'G' 'S' 'W'];Female;0;Yes;No;57;Yes;No;Fiber optic;No;No;Yes;No;Yes;No;Month-to-month;Yes;Credit card (automatic);56,76;3261,26;Yes
7717-['X' 'H' 'Q' 'L' 'X'];Male;1;Yes;No;1;Yes;Yes;Fiber optic;No;No;Yes;No;No;No;One year;Yes;Credit card (automatic);111,02;106,69;Yes
7050-['Y' 'M' 'M' 'H' 'W'];Male;0;No;Yes;29;No;No phone service;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Credit card (automatic);55,44;1601,4;Yes
2158-['F' 'M' 'H' 'L' 'K'];Female;0;Yes;Yes;68;Yes;No;DSL;Yes;Yes;No internet service;No;No internet service;No internet service;Month-to-month;Yes;Electronic check;80,36;5479,27;Yes
8719-['H' 'H' 'H' 'N' 'W'];Male;0;Yes;Yes;10;Yes;No;DSL;No internet service;Yes;No;No;No;Yes;Month-to-month;Yes;Electronic check;90,14;903,11;No
8547-['Y' 'H' 'B' 'Q' 'B'];Male;0;Yes;No;37;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Electronic check;111,91;4136;No
1324-['F' 'Y' 'M' 'F' 'U'];Male;0;No;No;16;Yes;Yes;DSL;No;No;No;No;No;No;Two year;Yes;Credit card (automatic);34,66;562,75;No
5035-['Z' 'R' 'H' 'O' 'X'];Male;0;No;No;62;Yes;Yes;Fiber optic;No internet service;Yes;No;No;No;Yes;Two year;Yes;Credit card (automatic);64,21;3999,74;No
7139-['J' 'S' 'C' 'S' 'L'];Male;0;No;Yes;39;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Electronic check;105,49;4114,87;No
4630-['H' 'P' 'S' 'N' 'L'];Female;1;Yes;No;57;Yes;No;DSL;No;No;No;No internet service;Yes;No;Two year;No;Electronic check;108,6;6182,14;Yes
5495-['E' 'K' 'V' 'A' 'H'];Female;0;No;No;68;Yes;No;Fiber optic;Yes;No;No internet service;Yes;Yes;No internet service;Month-to-month;No;Electronic check;119,01;8099,62;No
3184-['A' 'Q' 'U' 'B' 'H'];Male;0;No;No;39;Yes;Yes;Fiber optic;Yes;No;No;Yes;Yes;No;Month-to-month;Yes;Mailed check;83,77;3272,41;No
9429-['U' 'A' 'M' 'S' 'R'];Female;0;Yes;No;48;Yes;No;DSL;No;Yes;No;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);86,1;4132,54;Yes
8980-['K' 'H' 'I' 'R' 'D'];Male;1;No;No;53;Yes;Yes;DSL;No;No;Yes;No;Yes;No;One year;Yes;Mailed check;36,84;1963,37;No
1624-['X' 'O' 'P' 'M' 'V'];Female;0;Yes;No;65;Yes;No phone service;DSL;No;No;Yes;Yes;No internet service;Yes;One year;Yes;Credit card (automatic);35,19;2299,07;No
6899-['O' 'G' 'D' 'O' 'U'];Female;0;No;No;3;Yes;No;DSL;No;No;No;No;Yes;Yes;Month-to-month;No;Bank transfer (automatic);91,85;275,18;Yes
8887-['B' 'B' 'D' 'P' 'B'];Male;0;No;No;69;Yes;No;DSL;No;No internet service;No;No;Yes;Yes;Month-to-month;Yes;Mailed check;76,65;5281,47;No
5082-['W' 'G' 'O' 'S' 'A'];Female;0;Yes;Yes;59;Yes;No;Fiber optic;Yes;No;Yes;No;No internet service;No;Month-to-month;Yes;Bank transfer (automatic);45,27;2678,51;Yes
5832-['B' 'R' 'C' 'N' 'W'];Female;1;Yes;No;23;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Electronic check;35;805,37;Yes
2257-['I' 'F' 'V' 'F' 'N'];Female;0;No;Yes;64;Yes;Yes;Fiber optic;Yes;No internet service;No;Yes;No internet service;No internet service;Month-to-month;No;Mailed check;91,81;5886,27;Yes
4963-['R' 'S' 'M' 'V' 'V'];Male;0;Yes;No;51;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Mailed check;74,87;3819,91;Yes
9981-['T' 'F' 'P' 'W' 'Q'];Male;0;Yes;Yes;10;Yes;No;Fiber optic;Yes;Yes;No;No internet service;No;Yes;Two year;Yes;Credit card (automatic);112,16;1123,5;No
3366-['V' 'Q' 'P' 'G' 'V'];Female;0;No;No;35;Yes;No;Fiber optic;No;Yes;No;Yes;Yes;No;Month-to-month;No;Mailed check;112,3;3914,54;No
4842-['D' 'L' 'W' 'W' 'M'];Female;0;No;No;29;No;No phone service;Fiber optic;No internet service;Yes;No;No;No internet service;No;Month-to-month;Yes;Credit card (automatic);27,88;805,29;Yes
3402-['T' 'N' 'Q' 'H' 'M'];Female;0;Yes;Yes;42;Yes;No;DSL;No;No;No;Yes;Yes;Yes;Month-to-month;Yes;Mailed check;26,34;1097,76;Yes
8561-['P' 'K' 'O' 'A' 'Y'];Male;1;No;Yes;47;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Bank transfer (automatic);53,03;2469,75;No
5942-['B' 'E' 'P' 'D' 'V'];Female;0;No;No;57;Yes;Yes;Fiber optic;No internet service;No;No;No;No;No internet service;One year;No;Credit card (automatic);25,83;1481,28;Yes
9389-['L' 'K' 'K' 'P' 'U'];Female;1;Yes;No;42;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Electronic check;32,14;1353,05;Yes
8176-['K' 'L' 'N' 'K' 'P'];Male;0;No;No;68;Yes;Yes;Fiber optic;No;No;Yes;No;No;Yes;Month-to-month;No;Mailed check;22,17;1506,68;No
3483-['A' 'T' 'T' 'D' 'Z'];Female;0;Yes;Yes;12;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;92,56;1125,57;Yes
3432-['D' 'Z' 'K' 'C' 'C'];Female;0;Yes;Yes;3;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;119,15;351,24;No
9398-['U' 'Z' 'T' 'C' 'A'];Male;0;No;Yes;56;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Mailed check;105,51;5888,63;No
2610-['P' 'F' 'K' 'Y' 'Y'];Female;1;No;Yes;59;Yes;Yes;DSL;Yes;Yes;No;Yes;Yes;Yes;Month-to-month;Yes;Credit card (automatic);28,94;1715,41;Yes
8040-['O' 'E' 'H' 'Y' 'P'];Female;0;Yes;No;44;Yes;Yes;DSL;No;No;Yes;No;No;No;Two year;No;Electronic check;63,79;2815,62;No
7431-['C' 'X' 'K' 'C' 'P'];Male;0;Yes;Yes;72;Yes;No;DSL;No;No;No internet service;Yes;Yes;No;Two year;No;Bank transfer (automatic);104,19;7490,31;No
2684-['Q' 'Q' 'H' 'E' 'T'];Female;1;No;Yes;26;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Electronic check;31;801,03;Yes
3047-['I' 'L' 'B' 'F' 'K'];Male;0;No;Yes;4;Yes;No;Fiber optic;Yes;No;No internet service;No;No;Yes;Month-to-month;No;Bank transfer (automatic);41,11;148,36;Yes
4524-['F' 'Q' 'C' 'O' 'U'];Female;0;Yes;Yes;38;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Bank transfer (automatic);81,37;3089,16;Yes
7041-['H' 'F' 'U' 'Y' 'C'];Female;0;Yes;Yes;1;Yes;No;Fiber optic;Yes;Yes;No;Yes;Yes;No;Month-to-month;No;Electronic check;77,08;75,17;Yes
4469-['N' 'A' 'Q' 'M' 'B'];Female;1;No;No;16;Yes;No;DSL;No;No;No;Yes;No;No;Two year;Yes;Electronic check;47,28;764,76;Yes
2457-['K' 'W' 'B' 'W' 'G'];Male;1;Yes;No;54;Yes;Yes;Fiber optic;No;No;No;Yes;Yes;Yes;One year;No;Credit card (automatic);58,8;3178,08;No
9411-['B' 'T' 'E' 'E' 'A'];Female;0;Yes;No;35;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Bank transfer (automatic);28,92;1011,73;Yes
8705-['F' 'N' 'P' 'P' 'I'];Female;0;No;Yes;12;Yes;Yes;DSL;No;No;No;No;No internet service;Yes;Month-to-month;No;Credit card (automatic);107,03;1273,7;No
2331-['U' 'A' 'L' 'D' 'B'];Female;0;Yes;No;6;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Credit card (automatic);44,86;246,93;Yes
7888-['D' 'S' 'H' 'X' 'B'];Male;0;No;No;50;Yes;Yes;DSL;No;No;No;No internet service;No;No internet service;Month-to-month;Yes;Electronic check;111,74;5573,73;No
8059-['P' 'S' 'F' 'D' 'H'];Male;1;No;No;47;Yes;No;Fiber optic;No;No;Yes;No internet service;Yes;No;Month-to-month;Yes;Credit card (automatic);111,92;5253,83;Yes
8717-['S' 'A' 'T' 'V' 'X'];Female;0;Yes;No;71;No;No phone service;Fiber optic;Yes;Yes;No internet service;No;Yes;No;Month-to-month;No;Electronic check;78,92;5601,11;Yes
7912-['B' 'O' 'C' 'W' 'F'];Female;0;No;Yes;61;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Mailed check;23,68;1457,83;No
1171-['D' 'K' 'T' 'I' 'P'];Female;0;Yes;No;37;Yes;Yes;Fiber optic;Yes;No;No;Yes;No;No;Month-to-month;Yes;Mailed check;60,8;2238,9;No
1731-['J' 'P' 'X' 'T' 'M'];Male;0;Yes;Yes;51;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;35,52;1811,5;Yes
